FID,Name,Address,City,State,ZipCode1,ZipCode2,Suite,geom
Food_Establishments_Health.1058,GYUNG HYANG GARDEN CHURCH,8665 OLD ANNAPOLIS RD,Columbia,MD,21045,,,POINT (1365904.9007652171 567042.8476069274)
Food_Establishments_Health.1059,PISCO RESTAURANT,6630 MARIE CURIE DR,Elkridge,MD,21075,,,POINT (1370077.9973560795 554133.4366648601)
Food_Establishments_Health.1060,DAVIDS NATURAL MARKET,5410 LYNX LN,Columbia,MD,21044,,,POINT (1347511.8436471918 565998.9149651148)
Food_Establishments_Health.1061,SONIC DRIVE IN,10160 BALTIMORE NATIONAL PK,Ellicott City,MD,21042,,,POINT (1351463.9788854977 587614.7885259887)
Food_Establishments_Health.1062,GREAT AMERICAN COOKIES,10300 LITTLE PATUXENT PKWY,Columbia,MD,21044,,,POINT (1351971.1656722263 564203.7137246106)
Food_Establishments_Health.1063,SOFT STUFF ICE CREAM,10039 BALTIMORE NATIONAL PK,Ellicott City,MD,21042,,,POINT (1352672.6813835874 587121.3569492868)
Food_Establishments_Health.1064,ACE SUSHI @ SAFEWAY 1281,10000 BALTIMORE NATIONAL PK,Ellicott City,MD,21042,,,POINT (1353230.7917138191 587578.4981846417)
Food_Establishments_Health.1065,VILLA ITALIAN KITCHEN,10300 LITTLE  PATUXENT PKWY,Columbia,MD,21044,,,POINT (1351971.1656722263 564203.7137246106)
Food_Establishments_Health.1066,SHOPHOUSE,10300 LITTLE PATUXENT PKWY,Columbia,MD,21044,,,POINT (1351971.1656722263 564203.7137246106)
Food_Establishments_Health.1067,MARISQUERIA LA COSTENA,7540 WASHINGTON BLVD,Elkridge,MD,21075,,,POINT (1377128.8594829508 551056.6595795291)
Food_Establishments_Health.1068,HUNAN FAMILY,10451 TWIN RIVERS RD SUITE 101A,Columbia,MD,21044,,,POINT (1347846.358648479 565651.2300818871)
Food_Establishments_Health.1069,MAGGIANO'S  LITTLE ITALY,10300 LITTLE PATUXENT PKWY,Columbia,MD,21044,,,POINT (1351971.1656722263 564203.7137246106)
Food_Establishments_Health.1070,SUBWAY  42283,13380 CLARKSVILLE PK,Highland,MD,20777,,,POINT (1324390.2135844603 551044.0750256748)
Food_Establishments_Health.1071,SUBWAY #21527 (WATERLOO),6010 UNIVERSITY BLVD,Ellicott City,MD,21043,,,POINT (1369807.8684442788 561843.3782168397)
Food_Establishments_Health.1072,WILHIDES,3956 COOKS LN,Ellicott City,MD,21043,,,POINT (1364452.4091192076 581105.6475429346)
Food_Establishments_Health.1073,CHERRY TREE SPIRIT SHOPPE  -ABAH LLC,11200 SCAGGSVILLE RD,Laurel,MD,20723,,,POINT (1340588.5830431213 539202.8878409992)
Food_Establishments_Health.1074,SPRINGHILL SUITES,7055 MINSTREL WAY,NULL,MD,21046,,,POINT (1355641.75810105 549773.0350864003)
Food_Establishments_Health.1075,MISSION BBQ COLUMBIA LLC,6270 COLUMBIA CROSSING CIR,Columbia,MD,21045,,,POINT (1365206.8970223735 558130.0568377204)
Food_Establishments_Health.1076,IHOP,7371 ASSATEAGUE DR,Jessup,MD,20794,,,POINT (1373517.9705189238 547059.1614145393)
Food_Establishments_Health.1077,ASIAN AMERICAN MARKET,8610 WASHINGTON BLVD SUITE# 118,JESSUP,MD,20794,,,POINT (1366534.1284579274 539137.3310953401)
Food_Establishments_Health.1078,BUFFALO WILD WINGS (WAA COLUMBIA CROSSING LLC,6191 COLUMBIA CROSSING CIR,COLUMBIA,MD,21045,21045,,POINT (1364728.391311871 556962.912633754)
Food_Establishments_Health.1079,COHO GRILL @ KAHLER HALL,5440 OLD TUCKER ROW,Columbia,MD,21044,,,POINT (1343975.5840141606 566559.9519357778)
Food_Establishments_Health.1080,DUKES FAMOUS DELI,7540 WASHINGTON BLVD,Elkridge,MD,21075,,,POINT (1377128.8594829508 551056.6595795291)
Food_Establishments_Health.1081,HEALTHY CHOICE @ LOFT BALLROOM,9375 WASHINGTON BLVD,Laurel,MD,20723,,,POINT (1362911.5329321756 531555.8690582906)
Food_Establishments_Health.1082,ROMA'S MARKET AND PIZZERIA,5325 PHELPS LUCK DR,Columbia,MD,21045,,,POINT (1363860.93508806 567070.943355067)
Food_Establishments_Health.1083,GLENWOOD WINE AND SPIRITS,2465 RT 97,Glenwood,MD,21738,,,POINT (1306722.3779652885 596025.9531252863)
Food_Establishments_Health.1084,GREAT HARVEST BREAD CO,8835 CENTRE PARK DR,Columbia,MD,21045,,,POINT (1364834.9210235667 568732.9824559512)
Food_Establishments_Health.1085,ANANDA RESTAURANT,7421 MAPLE LAWN BLVD,Fulton,MD,20759,,,POINT (1339966.6719514893 543934.9727542226)
Food_Establishments_Health.1086,GADSBYS  BAR AMERICAN LLC,8850 COLUMBIA 100 PKWY,Columbia,MD,21045,,,POINT (1364971.5951317044 570311.6123045458)
Food_Establishments_Health.1087,TOUS LE JOURS,9380 BALTIMORE NATIONAL PK,Ellicott City,MD,21043,,,POINT (1359101.6324188265 586956.2944289665)
Food_Establishments_Health.1088,HAN SUNG RESTAURANT,3570 SAINT JOHNS LN,Ellicott City,MD,21043,,,POINT (1361299.5393826652 584790.287845828)
Food_Establishments_Health.1089,RIVERSIDE COFFEE,8865 STANFORD BLVD,Columbia,MD,21045,,,POINT (1363852.1551667666 555168.296721336)
Food_Establishments_Health.1090,SNOW CAFE,9065 FREDERICK RD,Ellicott City,MD,21042,,,POINT (1361584.594160665 584386.411466321)
Food_Establishments_Health.1091,PROSPERITY RESTAURANT INC.,2020 MARRIOTTSVILLE RD,Marriottsville,MD,21104,,,POINT (1340726.1351433883 600762.4279991565)
Food_Establishments_Health.1092,CHAMPPS AMERICANA,103  LITTLE PATUXENT PKWY,Columbia,MD,21044,,,POINT (1351971.1656722263 564203.7137246106)
Food_Establishments_Health.1093,GENJI LLC.,10275 LITTLE PATUXENT PKWY,Columbia,MD,21045,,,POINT (1353164.6496400738 563542.000323114)
Food_Establishments_Health.1094,RENATA'S TASTY BITES,9421 FREDERICK RD,Ellicott City,MD,21043,,,POINT (1357780.5469281783 585014.4685028587)
Food_Establishments_Health.1095,PAX SQUARE DOLLAR STORE,9900 WASHINGTON BVD,Laurel,MD,20723,,,POINT (1359358.2987846436 527223.5632279704)
Food_Establishments_Health.1096,103 WINE &  SPIRITS,6010 MEADOWRIDGE CENTER DR,Elkridge,MD,21075,,,POINT (1373910.7256647921 562038.2924695583)
Food_Establishments_Health.1097,FLOYD'S CROSSROADS PUB,4809 TEN OAKS RD,Dayton,MD,21036,,,POINT (1316138.5508886636 572769.1122746329)
Food_Establishments_Health.1098,T & J WAFFLES LLC,9855 WASHINGTON BLVD,Laurel,MD,20723,,,POINT (1360052.7905589696 527594.953898691)
Food_Establishments_Health.1099,THOMAS VIADUCT MIDDLE SCHOOL,7000 BANBURY DR,Hanover,MD,21076,,,POINT (1387391.1241549884 553122.8677239633)
Food_Establishments_Health.1100,ASIAN ONE,9900 WASHINGTON BLVD,Laurel,MD,20723,,,POINT (1359358.2987846436 527223.5632279704)
Food_Establishments_Health.1101,INTERNATIONAL FOOD MARKET,8722 TOWN & COUNTRY BLVD,Ellicott City,MD,21043,,,POINT (1365146.6082294907 590441.9231825375)
Food_Establishments_Health.1102,K9 & COFFEE INC.,3830 TEN OAKS RD,Glenelg,MD,21737,,,POINT (1316008.9007175611 582351.5183745007)
Food_Establishments_Health.1103,WALGREENS #15553,10097 BALTIMORE NATIONAL PK,Ellicott City,MD,21042,,,POINT (1351966.7757115795 587140.3801120896)
Food_Establishments_Health.1104,CVS,5405 LYNX LN,Columbia,MD,21045,,,POINT (1347824.1161812018 565909.0671038766)
Food_Establishments_Health.1105,DASH IN,6295 WASHINGTON BLVD,Elkridge,MD,21075,,,POINT (1389822.8696892809 561120.4980303309)
Food_Establishments_Health.1106,DUNKIN DONUTS,2020 MARRIOTTSVILLE RD UNIT  H,Marriottsville,MD,21104,,,POINT (1340726.1351433883 600762.4279991565)
Food_Establishments_Health.1107,SUBWAY #29266,6251 COLUMBIA CROSSING CIR,Columbia,MD,21045,,,POINT (1364840.7743044293 558311.5085444555)
Food_Establishments_Health.1108,SUBWAY #31312,4398 MONTGOMERY RD,Ellicott City,MD,21043,,,POINT (1364292.0292235774 577439.1524107147)
Food_Establishments_Health.1109,CAPITAL TEAS INC.,10300 LITTLE PATUXENT PKWY SPACE #5522,Columbia,MD,21044,,,POINT (1351971.1656722263 564203.7137246106)
Food_Establishments_Health.1110,OAKLAND MILLS LIQUORS,5888 ROBERT OLIVER PL,Columbia,MD,21045,,,POINT (1356078.9981814728 562335.053809283)
Food_Establishments_Health.1111,AUCTION CAFE II,7120 DORSEY RUN RD,Hanover,MD,21076,,,POINT (1378280.4924926318 547847.013018621)
Food_Establishments_Health.1112,TWISTED CORK,6524 OLD WATERLOO RD,Elkridge,MD,21075,,,POINT (1370710.444353264 555281.2650419807)
Food_Establishments_Health.1113,OSCAR SUSHI I NC. @ DAVIDS NATURAL MARKET,5410 LYNX LN,Columbia,MD,21044,,,POINT (1347511.8436471918 565998.9149651148)
Food_Establishments_Health.1114,PINOT'S PALETTE,11105 RESORT RD ste 105,Ellicott City,MD,21042,,,POINT (1341353.8995158828 594612.6784610549)
Food_Establishments_Health.1115,SUBZI MANDI,6656 DOBBIN RD STE E,Columbia,MD,21045,,,POINT (1361863.7956578024 553850.4305351621)
Food_Establishments_Health.1116,PIZZA PRIME TIME 2,6790 BUSINESS PKWY,Elkridge,MD,21075,,,POINT (1378342.8299338166 552127.8099773519)
Food_Establishments_Health.1117,Quikshakes of Ymca at E.C.,4331 Montgomery Rd,Ellicott City,MD,21043,,,POINT (1365142.80359693 577479.8327127085)
Food_Establishments_Health.1118,LAKESIDE CAFE & DELI,11000 BROKENLAND PKWY STE 130,Columbia,MD,21044,,,POINT (1350316.7358364633 562825.851409597)
Food_Establishments_Health.1119,LAKESIDE CAFE & DELI,11000 BROKENLAND PKWY,Columbia,MD,21044,,,POINT (1350316.7358364633 562825.851409597)
Food_Establishments_Health.1120,WILHIDES UNIQUE FLOWERS,3956 COOKS LN,Ellicott City,MD,21043,,,POINT (1364452.4091192076 581105.6475429346)
Food_Establishments_Health.1121,ROYAL TAJ,8335 BENSON DR,Columbia,MD,21045,,,POINT (1368728.8161172918 553472.893919536)
Food_Establishments_Health.1122,DOBBIN SQUARE LIQUORS,6480 DOBBIN CENTER WAY,Columbia,MD,21045,,,POINT (1363400.2818841876 557908.802821121)
Food_Establishments_Health.1123,RED LOBSTER #0768,9011 SNOWDEN SQUARE DR,Columbia,MD,21045,,,POINT (1363570.6123572842 552494.8106874257)
Food_Establishments_Health.1124,JEHOVAH JAVA,3715 OLD COLUMBIA PK,Ellicott City,MD,21043,,,POINT (1369441.4530622913 582956.4549516318)
Food_Establishments_Health.1125,COURTYARD KITCHEN -RIVER HOUSE PIZZA CO,3741 HAMILTON ST,Ellicott City,MD,21043,,,POINT (1369157.2762764208 582838.2186782109)
Food_Establishments_Health.1126,H MART ELLICOTT CITY llc,3301 NORTH RIDGE RD,ELLICOTT CITY,MD,21043,21043,,POINT (1364281.493318025 587917.9884746621)
Food_Establishments_Health.1127,ROYAL GARDEN ADULT MEDICAL DAYCARE CENTER,9212 BERGER RD STE 100,Columbia,MD,21046,,,POINT (1360387.8908883433 550169.009536743)
County_Offices_Major.fid-e93e948_150795a390a_1e17,Board of Education,10910 CLARKSVILLE PK,Ellicott City,MD,21042,,,POINT (1343577.268251473 571437.4908784323)
County_Offices_Major.fid-e93e948_150795a390a_1e18,Ascend One Building,8930 STANFORD BLVD,Columbia,MD,21045,,,POINT (1364028.6315847684 555789.6224848819)
County_Offices_Major.fid-e93e948_150795a390a_1e19,Recreation and Parks Headquarters,7120 OAKLAND MILLS RD,Columbia,MD,21046,,,POINT (1360206.4391816081 549294.2367118543)
County_Offices_Major.fid-e93e948_150795a390a_1e1a,Gateway Building,6751 COLUMBIA GATEWAY DR,Columbia,MD,21046,,,POINT (1368566.9729014458 552749.721068984)
County_Offices_Major.fid-e93e948_150795a390a_1e1b,Dorsey Building,9250 BENDIX RD,Columbia,MD,21045,,,POINT (1361003.948699113 572039.2081510891)
County_Offices_Major.fid-e93e948_150795a390a_1e1c,Ellicott City Campus,3430 COURT HOUSE DR,Ellicott City,MD,21043,,,POINT (1367258.7646286949 586027.6714201436)
